"country";"datum";"tests_done";"vaccinations";"death";"cases";"hospital_admissions100k";"icu_admissions100k"
"Austria";"2019-12-30";NA;NA;0;0;NA;NA
"Austria";"2020-01-06";NA;NA;0;0;NA;NA
"Austria";"2020-01-13";NA;NA;0;0;NA;NA
"Austria";"2020-01-20";NA;NA;0;0;NA;NA
"Austria";"2020-01-27";NA;NA;0;0;NA;NA
"Austria";"2020-02-03";NA;NA;0;0;NA;NA
"Austria";"2020-02-10";NA;NA;0;0;NA;NA
"Austria";"2020-02-17";NA;NA;0;0;NA;NA
"Austria";"2020-02-24";NA;NA;0;14;NA;NA
"Austria";"2020-03-02";NA;NA;0;88;NA;NA
"Austria";"2020-03-09";NA;NA;2;758;NA;NA
"Austria";"2020-03-16";NA;NA;24;2771;NA;NA
"Austria";"2020-03-23";NA;NA;94;5182;NA;NA
"Austria";"2020-03-30";NA;NA;122;3170;NA;NA
"Austria";"2020-04-06";12339;NA;161;1954;NA;NA
"Austria";"2020-04-13";58488;NA;113;773;NA;NA
"Austria";"2020-04-20";33443;NA;82;479;NA;NA
"Austria";"2020-04-27";26598;NA;43;349;NA;NA
"Austria";"2020-05-04";42153;NA;27;249;NA;NA
"Austria";"2020-05-11";46001;NA;10;367;NA;NA
"Austria";"2020-05-18";39348;NA;14;285;NA;NA
"Austria";"2020-05-25";46677;NA;4;203;NA;NA
"Austria";"2020-06-01";41063;NA;7;226;NA;NA
"Austria";"2020-06-08";35243;NA;6;170;NA;NA
"Austria";"2020-06-15";15775;NA;14;247;NA;NA
"Austria";"2020-06-22";61905;NA;9;340;NA;NA
"Austria";"2020-06-29";45284;NA;3;644;NA;NA
"Austria";"2020-07-06";48936;NA;2;578;NA;NA
"Austria";"2020-07-13";51929;NA;3;724;NA;NA
"Austria";"2020-07-20";99229;NA;4;915;NA;NA
"Austria";"2020-07-27";57416;NA;4;823;NA;NA
"Austria";"2020-08-03";56554;NA;5;702;NA;NA
"Austria";"2020-08-10";56622;NA;6;1362;NA;NA
"Austria";"2020-08-17";76497;NA;2;1866;NA;NA
"Austria";"2020-08-24";77105;NA;1;1979;NA;NA
"Austria";"2020-08-31";83733;NA;4;1976;NA;NA
"Austria";"2020-09-07";86241;NA;11;4141;NA;NA
"Austria";"2020-09-14";102617;NA;11;5222;NA;NA
"Austria";"2020-09-21";110816;NA;25;4909;NA;NA
"Austria";"2020-09-28";130874;NA;27;5152;NA;NA
"Austria";"2020-10-05";124663;NA;48;7365;NA;NA
"Austria";"2020-10-12";129647;NA;58;9574;NA;NA
"Austria";"2020-10-19";158997;NA;92;16979;NA;NA
"Austria";"2020-10-26";167926;NA;221;28574;NA;NA
"Austria";"2020-11-02";199567;NA;348;41398;NA;NA
"Austria";"2020-11-09";215044;NA;521;50986;NA;NA
"Austria";"2020-11-16";207745;NA;669;42630;NA;NA
"Austria";"2020-11-23";196461;NA;720;32058;NA;NA
"Austria";"2020-11-30";163770;NA;800;22794;NA;NA
"Austria";"2020-12-07";162984;NA;710;19060;NA;NA
"Austria";"2020-12-14";185766;NA;598;16186;NA;NA
"Austria";"2020-12-21";163961;NA;496;15164;NA;NA
"Austria";"2020-12-28";127657;3;396;13188;NA;NA
"Austria";"2021-01-04";137035;0;343;15133;NA;NA
"Austria";"2021-01-11";911735;1173;369;11406;NA;NA
"Austria";"2021-01-18";1144351;13494;308;10421;NA;NA
"Austria";"2021-01-25";655713;52491;281;9451;NA;NA
"Austria";"2021-02-01";960284;237747;230;10467;NA;NA
"Austria";"2021-02-08";1477892;264990;187;8442;NA;NA
"Austria";"2021-02-15";1500910;118560;150;11848;NA;NA
"Austria";"2021-02-22";1582385;63387;146;14370;NA;NA
"Austria";"2021-03-01";1651867;44826;135;15708;NA;NA
"Austria";"2021-03-08";1829934;91947;153;18851;NA;NA
"Austria";"2021-03-15";1991339;143013;177;20991;NA;NA
"Austria";"2021-03-22";2081325;278493;176;21849;NA;NA
"Austria";"2021-03-29";2169545;242082;202;21900;NA;NA
"Austria";"2021-04-05";2067620;413529;217;18533;NA;NA
"Austria";"2021-04-12";2165967;291729;201;16316;NA;NA
"Austria";"2021-04-19";2063585;178695;167;15250;NA;NA
"Austria";"2021-04-26";1951838;205404;145;12836;NA;NA
"Austria";"2021-05-03";4889378;369165;120;8730;NA;NA
"Austria";"2021-05-10";4060894;333570;86;5998;NA;NA
